word,page,radical,count,code,hanyu
󲪂,234,󳜲,6,hhthhgxn,（胎盘）
󲪃,251,󳜲,6,hgfhpxn,（向神）许愿
󲪄,263,󳜲,6,hgghgfxz,总是
󲪅,280,󳜲,6,hhghhhxn,堵塞
󲪆,286,󳜲,6,hghghhxn,扫
󲪇,286,󳜲,6,hjgjxn,（形容词缀）
󲪈,287,󳜲,6,hthgjxn,焙
󲪉,296,󳜲,6,gphfhxz,辛苦、劳累
󲪊,301,󳜲,6,hghhhhxn,（（对姨母、婶娘、伯母等的间接）称呼）
󲪋,303,󳜲,6,hjufxn,（故）事
󲪌,312,󳜲,6,hghghgxn,家、户
󲪍,347,󳜲,6,hffhxz,古代彝族首领为建立政权而祭天、地、祖宗时举行“过关祈福”的一种仪式
󲪎,362,󳜲,6,hjjdxm,（用手）剔
󲪏,371,󳜲,6,ghghghxm,突（然）、忽（然）
󲪐,385,󳜲,6,hfjuxn,守卫、保卫
󲪑,78,󳜲,7,hjffxv,慎重
󲪒,81,󳜲,7,hyhgyhgxn,哼、叫
󲪓,114,󳜲,7,hgjthhxn,粗糙
󲪔,138,󳜲,7,hfhjhxn,戴（使动）
󲪕,147,󳜲,7,hhffhxn,（子弹）上（堂）
󲪖,187,󳜲,7,hhhhgghxm,过（新年）
󲪗,187,󳜲,7,hhffyxn,饱满
󲪘,202,󳜲,7,hhthhgghxn,天井
󲪙,217,󳜲,7,kgjhxn,满
󲪚,225,󳜲,7,hghhghxn,发热
󲪛,268,󳜲,7,hghjjxz,轿（子）
󲪜,288,󳜲,7,hhffpxn,1、悲（伤）；2、（疲倦）
󲪝,296,󳜲,7,hjthghxn,板（面孔）
󲪞,354,󳜲,7,hghhghtxn,1、丢、扔；2、抛弃；
󲪟,34,󳜲,8,hjpjuhxn,伴随
󲪠,101,󳜲,8,hjfjhxn,1、（堆）尖；2、过分
󲪡,289,󳜲,8,hkghthxn,1、场、坝子，街道，场坝；2、场（量词）；
󲪢,259,󳜲,9,hghhhthghxn,减（少）、减（产）
󲪣,375,󳜲,9,hhddgxn,止沸
󲪤,26,󳜲,10,hffgffxn,扇（量词）
󲪥,17,󳜳,2,fpxm,（开）裂
󲪦,39,󳜳,2,fmxn,熟地（开垦后种熟了的地）
󲪧,50,󳜳,2,fgxz,皇帝
󲪨,173,󳜳,2,fgxv,香（味）
󲪩,191,󳜳,2,fsxm,菲篥（li）（一种吹奏的草杆乐器）
󲪪,219,󳜳,2,fhxm,1、落（在）；2、掉在；
󲪫,243,󳜳,2,fgxz,在
󲪬,257,󳜳,2,fgxm,1、汉（族）；2、商（彝语古语）；
󲪭,335,󳜳,2,fgxz,征（税）；
󲪮,340,󳜳,2,fdxz,绺（liu）（量词）
󲪯,353,󳜳,2,fjxm,（穷骨皮上撞伤）起泡
󲪰,358,󳜳,2,ffxz,我
󲪱,380,󳜳,2,ffxm,八（数词）
󲪲,7,󳜳,3,fgsxz,拜（年、天地）
󲪳,24,󳜳,3,figxz,1、族（人）；2、（某地、某类）人；3、（姑父、公公）；
