word,page,radical,count,code,pinyins,hanyu,hanyukey
󳔨,238,󳝟,4,hhghxm,威宁:tʂʼɯ⁵⁵/石林:tʂʼi²¹/红河:tɕʼɤ²¹/巍山:tɕʼi²¹/喜德:tʂʼo²¹/楚雄:tʂʼi²¹/禄劝:tʂʼʅ⁵⁵/石屏:tsʼɤr²¹/隆林:tɕi⁵⁵/盘县:tɕʼɪ⁵⁵/大方:tsʼɿ⁵⁵/毕节:tʂʼʅ⁵⁵,（早饭）,（早饭）
󳔩,239,󳝟,4,hhguxn,威宁:tʂʼɯ²¹/石林:tʂʼi³³/红河:tɕʼɤ²¹/巍山:tɕi³³/喜德:ȵdʑi²¹/楚雄:tɕe³³/禄劝:tɕe²¹/石屏:bɛ²¹/永仁:tɕe³³/隆林:tɕʼi³³/盘县:tɕʼɪ²¹/大方:tʂʼɪ²¹/毕节:tʂʼʅ²¹,根,根
󳔪,261,󳝟,4,ghioxz,威宁:ʂu³³/石屏:dɤ²¹/毕节:ʂu³³,（拙脚笨手）,（拙脚笨手）
󳔫,261,󳝟,4,hhhhxm,威宁:ʂu³³/红河:ʂo³³/巍山:ʂa²¹/禄劝:ʂo³³/大方:su³³,伤、悲,伤、悲
󳔬,266,󳝟,4,ghhgxz,喜德:ʐu²¹/石屏:zu²¹/毕节:fɤ⁵⁵,仗恃,仗恃
󳔭,276,󳝟,4,ghfxz,大方:tɕʊ³³/石屏:tʼi³³,（汆烫）,（汆烫）
󳔮,283,󳝟,4,ghghxn,禄劝:tɕʼɔ²¹/红河:tu³³/石屏:tu³³/巍山:dʑe²¹/喜德:ma³³/毕节:dze³³,（马）匹（量词）,（马）匹（量词）
󳔯,290,󳝟,4,ghghxm,威宁:dʑy²¹/红河:lɯ⁵⁵/红河:gɯ²¹/喜德:kʼa⁵⁵/楚雄:gə³³/大方:gɯ²¹/石屏:gɯ²¹/永仁:go³³/隆林:lə⁵⁵/盘县:gɯ³³/毕节:gɯ²¹,欢喜、高兴,欢喜、高兴
󳔰,310,󳝟,4,ghhgxn,喜德:ʑi²¹,（虽然）,（虽然）
󳔱,336,󳝟,4,ghhdxm,威宁:kʼu⁵⁵/石林:ka³¹/红河:kʼa²¹/巍山:do³³/喜德:pʼa⁵⁵/楚雄:du³³/禄劝:dor²¹/大方:kʼu⁵⁵/石屏:du³³/永仁:pʼa²¹/隆林:dou⁵³/盘县:mu⁵⁵/毕节:kʼu⁵⁵,孵出,孵出
󳔲,373,󳝟,4,ghjxz,红河:ɣɯ²¹/巍山:ti²¹/喜德:vu⁵⁵/盘县:ɣɯr²¹/隆林:to⁵⁵/大方:ti¹³/毕节:ɣu¹³,擂,擂
